Name  xlow xhi ylow yhi zlow zhi  volume  surf._area  norm_surf_area Equiv._sph._diam.  Itrace Nnn Norm._Gauss_Curvature length(mm) width(mm) thickness(mm) L/T W/T
AZ0.5-anm-00069.dat -4.5660 4.4514 -5.5220 4.5457 -4.7367 4.2984 325.0 255.0 1.116 8.5 1.084 30 1.0336 10.6016 9.2625 8.0156 8.0156 6.8858
AZ0.5-anm-00094.dat -4.5809 6.1829 -3.9266 4.2648 -5.4365 5.5432 336.0 285.0 1.219 8.6 1.254 30 0.9922 12.1165 10.4120 7.3836 7.3836 8.0156
AZ0.5-anm-00232.dat -5.5329 5.5164 -5.7306 5.8251 -4.7330 4.6741 330.0 298.0 1.290 8.6 1.371 30 1.0312 12.5584 11.4004 5.1986 5.1986 6.1271
AZ0.5-anm-00026.dat -5.6274 8.0476 -6.1870 4.9181 -4.5694 3.9797 336.0 321.0 1.373 8.6 1.432 28 1.0402 13.6111 12.4914 6.0286 6.0286 8.0156
AZ0.5-anm-00120.dat -5.6435 5.0388 -5.7812 6.0755 -4.0653 3.6481 328.0 284.0 1.234 8.6 1.248 30 0.9835 11.8656 11.0127 5.9846 5.9846 6.1271
AZ0.5-anm-00039.dat -6.2816 5.1673 -6.3652 6.2172 -4.4838 4.3373 337.0 296.0 1.263 8.6 1.494 30 1.0045 15.0761 9.6930 4.9286 4.9286 8.0156
AZ0.5-anm-00227.dat -3.8271 4.2317 -9.6727 7.1422 -3.5794 3.2047 346.0 321.0 1.348 8.7 1.600 30 0.9830 17.4992 9.1950 6.5307 6.5307 5.9846
AZ0.5-anm-00229.dat -7.2728 5.9842 -5.2921 5.0564 -3.5644 4.1540 348.0 297.0 1.240 8.7 1.294 18 1.0314 14.5064 10.1125 6.3581 6.3581 4.9286
AZ0.5-anm-00073.dat -5.3838 6.0637 -6.7825 6.7035 -4.3997 2.8958 350.0 312.0 1.298 8.7 1.434 30 0.9841 14.1133 10.0713 5.8408 5.8408 7.3836
AZ0.5-anm-00194.dat -4.6775 4.9402 -5.2705 4.9048 -4.1997 4.4015 339.0 262.0 1.114 8.7 1.128 24 1.0191 10.6185 10.3496 5.8736 5.8736 5.1986
