Name  xlow xhi ylow yhi zlow zhi  volume  surf._area  norm_surf_area Equiv._sph._diam.  Itrace Nnn Norm._Gauss_Curvature length(mm) width(mm) thickness(mm) L/T W/T
IN-coarse-anm-00081.dat -9.5205 8.4595 -8.2771 7.8084 -3.4378 3.3874 803.0 560.0 1.340 11.5 1.519 20 0.9799 18.23501 14.85458 6.15628 6.15628 7.66346
IN-coarse-anm-00120.dat -6.9511 5.9372 -6.9568 8.4777 -6.5419 5.8451 801.0 518.0 1.242 11.5 1.440 26 0.9896 18.51485 13.89389 6.30718 6.30718 6.68335
IN-coarse-anm-00125.dat -9.4669 9.1238 -8.0290 6.9940 -4.0488 4.3384 789.0 570.0 1.380 11.5 1.493 26 1.0388 18.62036 15.52035 6.09147 6.09147 6.12368
IN-coarse-anm-00181.dat -7.2526 5.2662 -8.0192 8.2571 -8.0146 5.6411 824.0 558.0 1.313 11.6 1.386 28 0.9600 20.67517 11.99860 10.13548 10.13548 6.30718
IN-coarse-anm-00040.dat -9.1070 9.6752 -6.0699 4.9386 -5.7734 5.6308 827.0 558.0 1.310 11.6 1.417 30 1.0157 20.71523 11.09936 9.71871 9.71871 6.09147
IN-coarse-anm-00103.dat -6.3875 6.5391 -9.8725 9.7117 -7.9307 8.3067 833.0 592.0 1.382 11.7 1.961 24 0.9728 24.38918 11.82974 7.00051 7.00051 10.13548
IN-coarse-anm-00127.dat -7.4568 6.1241 -7.9268 7.0775 -6.2383 7.0466 835.0 530.0 1.236 11.7 1.231 28 0.9818 16.17376 14.63183 8.29058 8.29058 9.71871
IN-coarse-anm-00055.dat -6.5905 5.8083 -7.6468 6.9415 -5.9540 5.4595 833.0 521.0 1.217 11.7 1.131 30 1.0082 16.04835 13.70396 10.21576 10.21576 10.13548
IN-coarse-anm-00169.dat -6.5521 6.6407 -7.0241 6.6798 -6.3430 6.0138 841.0 528.0 1.226 11.7 1.125 30 1.0053 15.50052 13.95050 11.35801 11.35801 9.71871
IN-coarse-anm-00204.dat -7.0543 7.9800 -5.7837 6.0965 -6.5956 7.4256 867.0 521.0 1.185 11.8 1.088 30 1.0257 15.64373 13.20626 10.44191 10.44191 10.21576
IN-coarse-anm-00035.dat -6.8689 7.1623 -8.5822 8.1187 -8.7090 6.7872 851.0 631.0 1.452 11.8 1.583 30 1.0000 21.22671 16.30960 6.52902 6.52902 11.35801
IN-coarse-anm-00046.dat -10.3145 11.1669 -5.4283 6.0870 -5.5307 5.1502 876.0 624.0 1.409 11.9 1.727 28 0.9996 22.19297 13.08496 6.76929 6.76929 6.52902
IN-coarse-anm-00019.dat -6.5395 7.1781 -8.0312 6.9806 -6.1740 6.1090 894.0 549.0 1.223 12.0 1.211 30 1.0336 15.92004 15.07484 7.87664 7.87664 6.76929
IN-coarse-anm-00219.dat -9.7462 11.0331 -5.4268 5.0659 -6.1406 3.6966 905.0 563.0 1.245 12.0 1.497 30 1.0086 21.49718 11.05659 8.67141 8.67141 6.76929
IN-coarse-anm-00119.dat -6.0667 6.5292 -6.7728 6.6289 -7.3466 6.6645 906.0 521.0 1.150 12.0 1.190 30 0.9983 16.43491 13.55211 8.35064 8.35064 6.76929
IN-coarse-anm-00172.dat -7.5346 8.0464 -6.5255 5.6465 -4.2201 5.9859 901.0 535.0 1.186 12.0 1.129 30 0.9802 16.82005 13.81663 10.84548 10.84548 6.76929
IN-coarse-anm-00054.dat -5.4623 5.5450 -7.6315 7.8783 -7.3945 5.8999 929.0 539.0 1.171 12.1 1.156 30 1.0067 16.57896 11.78981 10.57392 10.57392 8.35064
