Name                             IS_Rad        IS_x        IS_y        IS_z  Sphericity    Round DP  Round MaxC    Corey SF         ASF         MPS         ESF     Hofmann
cement152-anm-01961.dat            4.55      -0.128       0.678        1.78        0.78       0.725       0.473       0.422       0.853       0.563       0.495       0.941
cement152-anm-01973.dat            5.91        3.23       -3.82       -3.67       0.787       0.731        0.49       0.511       0.872       0.639        0.53       0.912
cement152-anm-01993.dat            5.25       -4.74       -2.71        5.08       0.779        0.72       0.448       0.508       0.889       0.637       0.555       0.937
cement152-anm-02010.dat            4.06        1.16       -3.59      -0.123       0.728       0.684       0.412       0.501       0.903        0.63       0.578        0.96
cement152-anm-02026.dat            4.58       -1.82       -4.76       -2.66       0.771       0.711       0.523       0.374       0.814       0.519       0.441       0.927
cement152-anm-02050.dat            9.86        -4.2        6.89        7.51       0.727       0.656       0.542       0.406       0.841       0.549       0.477       0.937
cement152-anm-02064.dat             9.3       -0.58        4.48       -3.75       0.821       0.784       0.505       0.523       0.911       0.649       0.595       0.961
cement152-anm-02078.dat            7.89        3.36       0.803        1.94       0.825       0.786       0.533        0.49       0.894       0.621       0.562       0.954
cement152-anm-02094.dat            4.03       -5.43      -0.354       -3.51       0.729       0.661        0.44       0.449       0.863       0.586       0.507       0.933
cement152-anm-02108.dat            6.09        2.84        7.44       -9.81       0.686       0.533       0.501       0.472       0.815       0.606       0.438       0.845
cement152-anm-02122.dat            7.94     -0.0698      -0.278         1.4       0.869       0.845       0.459       0.675       0.952        0.77       0.723       0.971
cement152-anm-02138.dat            16.5       -13.3        4.49      -0.458       0.758        0.71       0.433        0.65       0.944        0.75       0.698       0.967
cement152-anm-02153.dat             5.7      -0.245        3.44       -3.81       0.815       0.764       0.454       0.704       0.935       0.792       0.719       0.956
cement152-anm-02164.dat            4.58        1.47        2.11        1.66       0.763       0.718       0.433       0.533       0.919       0.657        0.61       0.966
cement152-anm-02180.dat            5.97       0.537       0.697      -0.459       0.796       0.766       0.436       0.589       0.933       0.703       0.652       0.966
cement152-anm-02194.dat            6.23     -0.0315        2.23       -6.99       0.786       0.713        0.47       0.575       0.906       0.691       0.605       0.938
cement152-anm-02209.dat            4.41        1.94       -1.17        1.66       0.747       0.684       0.481       0.383       0.819       0.528       0.446       0.924
